StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,26,Alabama,"Men, 16 to 19 years",137    ,57    ,41.2    ,48    ,34.7    ,9    ,16.0    
01,27,Alabama,"Men, 20 to 24 years",166    ,124    ,75.0    ,109    ,65.8    ,15    ,12.3    
01,28,Alabama,"Men, 25 to 34 years",278    ,252    ,90.5    ,239    ,85.9    ,13    ,5.1    
01,29,Alabama,"Men, 35 to 44 years",296    ,265    ,89.4    ,254    ,85.7    ,11    ,4.2    
01,30,Alabama,"Men, 45 to 54 years",330    ,280    ,84.8    ,272    ,82.4    ,8    ,2.9    
01,31,Alabama,"Men, 55 to 64 years",224    ,143    ,63.6    ,139    ,61.9    ,4    ,2.7    
01,33,Alabama,"Women, 16 to 19 years",128    ,49    ,38.2    ,41    ,32.3    ,8    ,15.5    
01,34,Alabama,"Women, 20 to 24 years",141    ,100    ,71.0    ,87    ,61.8    ,13    ,13.0    
01,35,Alabama,"Women, 25 to 34 years",303    ,229    ,75.5    ,214    ,70.4    ,15    ,6.8    
01,36,Alabama,"Women, 35 to 44 years",346    ,256    ,74.1    ,238    ,68.9    ,18    ,7.1    
01,37,Alabama,"Women, 45 to 54 years",355    ,248    ,70.0    ,241    ,67.9    ,7    ,2.9    
01,38,Alabama,"Women, 55 to 64 years",239    ,111    ,46.7    ,109    ,45.5    ,3    ,2.5    
01,40,Alabama,"White, 16 to 19 years",169    ,74    ,44.1    ,67    ,39.5    ,8    ,10.5    
01,41,Alabama,"White, 20 to 24 years",198    ,155    ,78.1    ,146    ,73.5    ,9    ,5.9    
01,42,Alabama,"White, 25 to 34 years",391    ,331    ,84.7    ,319    ,81.5    ,12    ,3.7    
01,43,Alabama,"White, 35 to 44 years",467    ,386    ,82.5    ,369    ,79.0    ,16    ,4.2    
01,44,Alabama,"White, 45 to 54 years",499    ,396    ,79.4    ,385    ,77.1    ,12    ,2.9    
01,45,Alabama,"White, 55 to 64 years",365    ,204    ,55.7    ,201    ,54.9    ,3    ,1.4    
01,46,Alabama,"White, 65 years and over",429    ,50    ,11.6    ,49    ,11.4    ,1    ,1.8    
01,48,Alabama,"Black or African American, 20 to 24 years",99    ,64    ,64.0    ,46    ,45.9    ,18    ,28.3    
01,49,Alabama,"Black or African American, 25 to 34 years",157    ,128    ,81.2    ,112    ,71.5    ,15    ,11.9    
01,50,Alabama,"Black or African American, 35 to 44 years",155    ,120    ,77.7    ,108    ,70.0    ,12    ,9.9    
01,51,Alabama,"Black or African American, 45 to 54 years",164    ,116    ,70.8    ,112    ,68.5    ,4    ,3.2    
01,52,Alabama,"Black or African American, 55 to 64 years",87    ,45    ,51.8    ,42    ,47.5    ,4    ,8.3    
02,01,Alaska,Total,465    ,331    ,71.1    ,306    ,65.8    ,25    ,7.5    
02,02,Alaska,Men,233    ,179    ,76.6    ,165    ,70.6    ,14    ,7.9    
02,03,Alaska,Women,232    ,152    ,65.6    ,141    ,60.9    ,11    ,7.2    
02,04,Alaska,White,341    ,247    ,72.4    ,233    ,68.3    ,14    ,5.7    
02,05,Alaska,"White, men",175    ,136    ,77.5    ,128    ,73.0    ,8    ,5.8    
02,06,Alaska,"White, women",166    ,111    ,67.0    ,105    ,63.3    ,6    ,5.4    
02,07,Alaska,Black or African American,14    ,10    ,72.5    ,9    ,66.4    ,1    ,8.5    
02,08,Alaska,"Black or African American, men",8    ,6    ,81.7    ,6    ,75.0    ,1    ,8.2    
02,09,Alaska,"Black or African American, women",7    ,4    ,61.8    ,4    ,56.3    ,( 3 ),8.9    
02,10,Alaska,Asian,30    ,22    ,73.1    ,20    ,69.3    ,1    ,5.2    
02,11,Alaska,"Asian, men",13    ,10    ,81.1    ,10    ,77.4    ,( 3 ),4.5    
02,12,Alaska,"Asian, women",17    ,11    ,67.0    ,11    ,63.0    ,1    ,5.9    
02,13,Alaska,Hispanic or Latino ethnicity,22    ,16    ,75.4    ,15    ,69.8    ,1    ,7.3    
02,14,Alaska,"Hispanic or Latino ethnicity, men",11    ,9    ,81.6    ,8    ,75.8    ,1    ,7.1    
02,15,Alaska,"Hispanic or Latino ethnicity, women",11    ,7    ,68.9    ,7    ,63.7    ,1    ,7.6    
02,16,Alaska,"Married men, spouse present",125    ,102    ,81.4    ,97    ,77.6    ,5    ,4.8    
02,17,Alaska,"Married women, spouse present",127    ,85    ,66.7    ,81    ,63.4    ,4    ,5.0    
02,18,Alaska,Women who maintain families,25    ,18    ,73.4    ,17    ,67.5    ,1    ,8.0    
02,19,Alaska,"Total, 16 to 19 years",38    ,18    ,47.7    ,14    ,36.9    ,4    ,22.5    
02,20,Alaska,"Total, 20 to 24 years",44    ,33    ,74.3    ,29    ,64.9    ,4    ,12.6    
02,21,Alaska,"Total, 25 to 34 years",83    ,68    ,81.4    ,63    ,75.5    ,5    ,7.3    
02,22,Alaska,"Total, 35 to 44 years",90    ,77    ,85.4    ,73    ,80.4    ,5    ,5.9    
02,23,Alaska,"Total, 45 to 54 years",105    ,88    ,83.5    ,82    ,78.3    ,5    ,6.1    
02,24,Alaska,"Total, 55 to 64 years",57    ,37    ,65.7    ,36    ,63.3    ,1    ,3.6    
02,25,Alaska,"Total, 65 years and over",46    ,9    ,20.1    ,9    ,19.2    ,( 3 ),4.7    
02,26,Alaska,"Men, 16 to 19 years",20    ,9    ,44.6    ,7    ,34.6    ,2    ,22.4    
02,27,Alaska,"Men, 20 to 24 years",21    ,17    ,79.5    ,14    ,68.9    ,2    ,13.4    
02,28,Alaska,"Men, 25 to 34 years",40    ,36    ,91.3    ,34    ,85.2    ,2    ,6.7    
02,29,Alaska,"Men, 35 to 44 years",47    ,43    ,91.7    ,40    ,85.5    ,3    ,6.8    
02,30,Alaska,"Men, 45 to 54 years",54    ,48    ,88.3    ,44    ,81.7    ,4    ,7.4    
02,31,Alaska,"Men, 55 to 64 years",31    ,21    ,69.4    ,21    ,67.0    ,1    ,3.4    
02,32,Alaska,"Men, 65 years and over",22    ,5    ,25.0    ,5    ,23.7    ,( 3 ),5.3    
02,33,Alaska,"Women, 16 to 19 years",19    ,9    ,51.0    ,7    ,39.5    ,2    ,22.6    
02,34,Alaska,"Women, 20 to 24 years",23    ,16    ,69.7    ,14    ,61.4    ,2    ,11.9    
02,35,Alaska,"Women, 25 to 34 years",44    ,32    ,72.5    ,29    ,66.7    ,3    ,8.0    
02,36,Alaska,"Women, 35 to 44 years",44    ,35    ,78.8    ,33    ,75.0    ,2    ,4.8    
02,37,Alaska,"Women, 45 to 54 years",51    ,40    ,78.3    ,38    ,74.7    ,2    ,4.6    
02,38,Alaska,"Women, 55 to 64 years",26    ,16    ,61.3    ,16    ,59.0    ,1    ,3.8    
02,39,Alaska,"Women, 65 years and over",25    ,4    ,15.9    ,4    ,15.3    ,( 3 ),3.8    
02,40,Alaska,"White, 16 to 19 years",24    ,12    ,49.7    ,10    ,39.9    ,2    ,19.7    
02,41,Alaska,"White, 20 to 24 years",29    ,22    ,75.9    ,20    ,69.2    ,2    ,8.9    
02,42,Alaska,"White, 25 to 34 years",60    ,50    ,83.0    ,47    ,78.6    ,3    ,5.3    
02,43,Alaska,"White, 35 to 44 years",66    ,57    ,86.8    ,55    ,83.1    ,2    ,4.3    
02,44,Alaska,"White, 45 to 54 years",82    ,70    ,85.1    ,66    ,80.7    ,4    ,5.1    
02,45,Alaska,"White, 55 to 64 years",45    ,30    ,66.6    ,29    ,64.6    ,1    ,3.0    
02,46,Alaska,"White, 65 years and over",36    ,7    ,18.5    ,6    ,18.1    ,( 3 ),2.0    
02,50,Alaska,"Black or African American, 35 to 44 years",4    ,3    ,79.9    ,3    ,72.3    ,( 3 ),9.5    
02,55,Alaska,"Asian, 20 to 24 years",3    ,3    ,83.5    ,3    ,78.6    ,( 3 ),5.8    
02,56,Alaska,"Asian, 25 to 34 years",5    ,4    ,81.0    ,4    ,78.3    ,( 3 ),3.3    
02,57,Alaska,"Asian, 35 to 44 years",6    ,5    ,87.2    ,5    ,83.4    ,( 3 ),4.4    
02,58,Alaska,"Asian, 45 to 54 years",6    ,6    ,86.8    ,5    ,82.9    ,( 3 ),4.4    
02,63,Alaska,"Hispanic or Latino ethnicity, 25 to 34 years",7    ,5    ,78.1    ,5    ,75.0    ,( 3 ),3.9    
02,64,Alaska,"Hispanic or Latino ethnicity, 35 to 44 years",4    ,3    ,83.5    ,3    ,80.1    ,( 3 ),4.1    
02,65,Alaska,"Hispanic or Latino ethnicity, 45 to 54 years",4    ,3    ,83.4    ,3    ,75.1    ,( 3 ),10.0    
04,01,Arizona,Total,"4,266    ","2,778    ",65.1    ,"2,637    ",61.8    ,141    ,5.1    
04,02,Arizona,Men,"2,101    ","1,536    ",73.1    ,"1,458    ",69.4    ,77    ,5.0    
04,03,Arizona,Women,"2,166    ","1,242    ",57.4    ,"1,179    ",54.4    ,63    ,5.1    
04,04,Arizona,White,"3,880    ","2,526    ",65.1    ,"2,405    ",62.0    ,121    ,4.8    
04,05,Arizona,"White, men","1,924    ","1,410    ",73.3    ,"1,344    ",69.9    ,66    ,4.7    
04,06,Arizona,"White, women","1,956    ","1,116    ",57.1    ,"1,061    ",54.2    ,55    ,4.9    
04,07,Arizona,Black or African American,136    ,92    ,67.6    ,83    ,60.8    ,9    ,10.0    
04,08,Arizona,"Black or African American, men",67    ,49    ,73.7    ,44    ,65.8    ,5    ,10.7    
04,10,Arizona,Asian,94    ,59    ,62.8    ,56    ,60.0    ,3    ,4.5    
04,13,Arizona,Hispanic or Latino ethnicity,"1,171    ",803    ,68.6    ,752    ,64.2    ,52    ,6.4    
04,14,Arizona,"Hispanic or Latino ethnicity, men",600    ,500    ,83.2    ,469    ,78.2    ,30    ,6.0    
04,15,Arizona,"Hispanic or Latino ethnicity, women",570    ,304    ,53.3    ,282    ,49.5    ,21    ,7.1    
04,16,Arizona,"Married men, spouse present","1,192    ",893    ,74.9    ,874    ,73.4    ,18    ,2.1    
04,17,Arizona,"Married women, spouse present","1,142    ",635    ,55.6    ,615    ,53.9    ,20    ,3.1    
04,18,Arizona,Women who maintain families,241    ,167    ,69.4    ,157    ,65.0    ,11    ,6.4    
04,19,Arizona,"Total, 16 to 19 years",277    ,131    ,47.2    ,103    ,37.3    ,28    ,21.1    
04,20,Arizona,"Total, 20 to 24 years",393    ,298    ,75.9    ,272    ,69.3    ,26    ,8.8    
04,21,Arizona,"Total, 25 to 34 years",884    ,707    ,80.0    ,673    ,76.2    ,34    ,4.8    
04,22,Arizona,"Total, 35 to 44 years",746    ,620    ,83.1    ,598    ,80.1    ,23    ,3.6    
04,23,Arizona,"Total, 45 to 54 years",779    ,613    ,78.7    ,596    ,76.5    ,17    ,2.8    
04,24,Arizona,"Total, 55 to 64 years",553    ,329    ,59.4    ,319    ,57.7    ,9    ,2.8    
04,25,Arizona,"Total, 65 years and over",634    ,80    ,12.7    ,76    ,12.0    ,5    ,5.7    
04,26,Arizona,"Men, 16 to 19 years",140    ,62    ,44.3    ,45    ,32.2    ,17    ,27.2    
04,27,Arizona,"Men, 20 to 24 years",195    ,166    ,85.1    ,153    ,78.1    ,14    ,8.2    
04,28,Arizona,"Men, 25 to 34 years",458    ,421    ,92.0    ,400    ,87.5    ,21    ,4.9    
04,29,Arizona,"Men, 35 to 44 years",380    ,346    ,91.2    ,335    ,88.1    ,12    ,3.4    
04,30,Arizona,"Men, 45 to 54 years",372    ,325    ,87.3    ,318    ,85.3    ,7    ,2.3    
04,31,Arizona,"Men, 55 to 64 years",272    ,181    ,66.3    ,176    ,64.4    ,5    ,2.8    
04,33,Arizona,"Women, 16 to 19 years",137    ,69    ,50.3    ,58    ,42.5    ,11    ,15.5    
04,34,Arizona,"Women, 20 to 24 years",197    ,132    ,66.9    ,119    ,60.6    ,13    ,9.5    
04,35,Arizona,"Women, 25 to 34 years",426    ,286    ,67.1    ,273    ,64.0    ,13    ,4.6    
04,36,Arizona,"Women, 35 to 44 years",367    ,274    ,74.8    ,263    ,71.8    ,11    ,4.0    
04,37,Arizona,"Women, 45 to 54 years",406    ,288    ,70.8    ,278    ,68.5    ,9    ,3.3    
04,38,Arizona,"Women, 55 to 64 years",281    ,148    ,52.7    ,144    ,51.2    ,4    ,2.8    
04,40,Arizona,"White, 16 to 19 years",246    ,117    ,47.8    ,93    ,38.0    ,24    ,20.6    
04,41,Arizona,"White, 20 to 24 years",343    ,267    ,77.9    ,246    ,71.9    ,21    ,7.7    
04,42,Arizona,"White, 25 to 34 years",797    ,642    ,80.5    ,613    ,76.8    ,29    ,4.6    
04,43,Arizona,"White, 35 to 44 years",670    ,557    ,83.0    ,537    ,80.2    ,19    ,3.4    
04,44,Arizona,"White, 45 to 54 years",704    ,558    ,79.3    ,544    ,77.2    ,14    ,2.6    
04,45,Arizona,"White, 55 to 64 years",520    ,309    ,59.5    ,301    ,57.8    ,9    ,2.8    
04,46,Arizona,"White, 65 years and over",600    ,76    ,12.7    ,72    ,11.9    ,4    ,5.8    
04,62,Arizona,"Hispanic or Latino ethnicity, 20 to 24 years",159    ,126    ,79.0    ,115    ,72.5    ,10    ,8.3    
04,63,Arizona,"Hispanic or Latino ethnicity, 25 to 34 years",345    ,258    ,74.8    ,244    ,70.9    ,13    ,5.2    
04,64,Arizona,"Hispanic or Latino ethnicity, 35 to 44 years",227    ,183    ,80.5    ,172    ,76.0    ,10    ,5.5    
04,65,Arizona,"Hispanic or Latino ethnicity, 45 to 54 years",173    ,135    ,77.6    ,131    ,75.7    ,3    ,2.5    
04,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",85    ,49    ,58.0    ,47    ,55.3    ,2    ,4.8    
05,01,Arkansas,Total,"2,102    ","1,308    ",62.2    ,"1,231    ",58.5    ,77    ,5.9    
05,02,Arkansas,Men,"1,008    ",707    ,70.1    ,668    ,66.3    ,39    ,5.5    
05,03,Arkansas,Women,"1,094    ",601    ,54.9    ,562    ,51.4    ,38    ,6.4    
05,04,Arkansas,White,"1,718    ","1,066    ",62.1    ,"1,016    ",59.1    ,50    ,4.7    
05,05,Arkansas,"White, men",833    ,591    ,71.0    ,564    ,67.8    ,27    ,4.5    
05,06,Arkansas,"White, women",885    ,475    ,53.6    ,451    ,51.0    ,24    ,5.0    
05,07,Arkansas,Black or African American,307    ,192    ,62.4    ,167    ,54.4    ,25    ,12.8    
05,08,Arkansas,"Black or African American, men",137    ,86    ,62.7    ,75    ,54.5    ,11    ,13.1    
05,09,Arkansas,"Black or African American, women",170    ,106    ,62.2    ,93    ,54.4    ,13    ,12.5    
05,13,Arkansas,Hispanic or Latino ethnicity,70    ,51    ,73.9    ,49    ,70.0    ,3    ,5.3    
05,14,Arkansas,"Hispanic or Latino ethnicity, men",40    ,35    ,87.0    ,34    ,83.6    ,1    ,3.9    
05,16,Arkansas,"Married men, spouse present",613    ,455    ,74.3    ,444    ,72.5    ,11    ,2.4    
05,17,Arkansas,"Married women, spouse present",581    ,343    ,59.1    ,335    ,57.7    ,8    ,2.5    
05,18,Arkansas,Women who maintain families,138    ,93    ,67.3    ,81    ,58.8    ,12    ,12.6    
05,19,Arkansas,"Total, 16 to 19 years",145    ,65    ,45.0    ,50    ,34.1    ,16    ,24.1    
05,20,Arkansas,"Total, 20 to 24 years",189    ,136    ,72.1    ,123    ,65.1    ,13    ,9.6    
05,21,Arkansas,"Total, 25 to 34 years",369    ,313    ,84.9    ,295    ,79.9    ,18    ,5.9    
05,22,Arkansas,"Total, 35 to 44 years",372    ,293    ,78.8    ,280    ,75.3    ,13    ,4.5    
05,23,Arkansas,"Total, 45 to 54 years",371    ,290    ,78.2    ,280    ,75.5    ,10    ,3.4    
05,24,Arkansas,"Total, 55 to 64 years",291    ,161    ,55.3    ,156    ,53.6    ,5    ,3.2    
05,25,Arkansas,"Total, 65 years and over",365    ,48    ,13.3    ,47    ,12.9    ,2    ,3.2    
05,26,Arkansas,"Men, 16 to 19 years",70    ,34    ,48.4    ,26    ,37.2    ,8    ,23.2    
05,27,Arkansas,"Men, 20 to 24 years",87    ,68    ,78.7    ,63    ,73.1    ,5    ,7.2    
05,28,Arkansas,"Men, 25 to 34 years",186    ,173    ,92.6    ,164    ,87.9    ,9    ,5.1    
05,29,Arkansas,"Men, 35 to 44 years",189    ,167    ,88.3    ,160    ,84.5    ,7    ,4.3    
05,30,Arkansas,"Men, 45 to 54 years",186    ,155    ,83.5    ,150    ,80.6    ,5    ,3.4    
05,31,Arkansas,"Men, 55 to 64 years",142    ,85    ,60.1    ,82    ,57.5    ,4    ,4.2    
05,33,Arkansas,"Women, 16 to 19 years",75    ,31    ,41.7    ,23    ,31.3    ,8    ,25.1    
05,34,Arkansas,"Women, 20 to 24 years",103    ,68    ,66.4    ,60    ,58.4    ,8    ,12.0    
05,35,Arkansas,"Women, 25 to 34 years",182    ,140    ,77.0    ,131    ,71.7    ,10    ,6.8    
05,36,Arkansas,"Women, 35 to 44 years",183    ,126    ,69.0    ,120    ,65.7    ,6    ,4.8    
05,37,Arkansas,"Women, 45 to 54 years",186    ,135    ,73.0    ,131    ,70.4    ,5    ,3.5    
05,38,Arkansas,"Women, 55 to 64 years",149    ,76    ,50.8    ,74    ,49.8    ,2    ,2.1    
05,40,Arkansas,"White, 16 to 19 years",110    ,52    ,47.3    ,41    ,37.3    ,11    ,21.3    
05,41,Arkansas,"White, 20 to 24 years",141    ,105    ,74.3    ,98    ,69.9    ,6    ,5.9    
05,42,Arkansas,"White, 25 to 34 years",288    ,246    ,85.5    ,235    ,81.6    ,11    ,4.6    
05,43,Arkansas,"White, 35 to 44 years",306    ,241    ,78.9    ,232    ,75.9    ,9    ,3.8    
05,44,Arkansas,"White, 45 to 54 years",302    ,238    ,78.8    ,231    ,76.5    ,7    ,2.9    
05,45,Arkansas,"White, 55 to 64 years",245    ,141    ,57.5    ,136    ,55.7    ,4    ,3.1    
05,46,Arkansas,"White, 65 years and over",327    ,43    ,13.3    ,42    ,12.9    ,1    ,3.4    
05,49,Arkansas,"Black or African American, 25 to 34 years",66    ,55    ,83.7    ,49    ,73.8    ,7    ,11.8    
05,50,Arkansas,"Black or African American, 35 to 44 years",53    ,43    ,81.5    ,40    ,74.5    ,4    ,8.5    
05,51,Arkansas,"Black or African American, 45 to 54 years",55    ,40    ,72.2    ,36    ,66.3    ,3    ,8.2    
06,01,California,Total,"26,768    ","17,551    ",65.6    ,"16,466    ",61.5    ,"1,084    ",6.2    
06,02,California,Men,"13,117    ","9,690    ",73.9    ,"9,076    ",69.2    ,614    ,6.3    
06,03,California,Women,"13,650    ","7,860    ",57.6    ,"7,390    ",54.1    ,470    ,6.0    
06,04,California,White,"20,671    ","13,660    ",66.1    ,"12,850    ",62.2    ,810    ,5.9    
06,05,California,"White, men","10,226    ","7,663    ",74.9    ,"7,200    ",70.4    ,463    ,6.0    
06,06,California,"White, women","10,444    ","5,997    ",57.4    ,"5,650    ",54.1    ,347    ,5.8    
06,07,California,Black or African American,"1,719    ","1,065    ",61.9    ,953    ,55.4    ,113    ,10.6    
06,08,California,"Black or African American, men",796    ,516    ,64.8    ,456    ,57.3    ,60    ,11.6    
06,09,California,"Black or African American, women",923    ,549    ,59.5    ,497    ,53.8    ,53    ,9.6    
06,10,California,Asian,"3,412    ","2,182    ",64.0    ,"2,071    ",60.7    ,111    ,5.1    
06,11,California,"Asian, men","1,618    ","1,155    ",71.4    ,"1,094    ",67.6    ,61    ,5.3    
06,12,California,"Asian, women","1,794    ","1,028    ",57.3    ,977    ,54.5    ,51    ,4.9    
06,13,California,Hispanic or Latino ethnicity,"8,036    ","5,456    ",67.9    ,"5,012    ",62.4    ,445    ,8.1    
06,14,California,"Hispanic or Latino ethnicity, men","4,086    ","3,267    ",80.0    ,"3,021    ",73.9    ,246    ,7.5    
06,15,California,"Hispanic or Latino ethnicity, women","3,950    ","2,190    ",55.4    ,"1,991    ",50.4    ,199    ,9.1    
06,16,California,"Married men, spouse present","6,989    ","5,507    ",78.8    ,"5,299    ",75.8    ,207    ,3.8    
06,17,California,"Married women, spouse present","6,865    ","3,928    ",57.2    ,"3,746    ",54.6    ,182    ,4.6    
06,18,California,Women who maintain families,"1,555    ","1,084    ",69.8    ,"1,004    ",64.6    ,81    ,7.4    
06,19,California,"Total, 16 to 19 years","2,020    ",751    ,37.2    ,595    ,29.5    ,156    ,20.8    
06,20,California,"Total, 20 to 24 years","2,591    ","1,895    ",73.1    ,"1,710    ",66.0    ,186    ,9.8    
06,21,California,"Total, 25 to 34 years","5,029    ","4,068    ",80.9    ,"3,819    ",75.9    ,249    ,6.1    
06,22,California,"Total, 35 to 44 years","5,411    ","4,394    ",81.2    ,"4,185    ",77.3    ,209    ,4.8    
06,23,California,"Total, 45 to 54 years","4,831    ","3,896    ",80.6    ,"3,726    ",77.1    ,170    ,4.4    
06,24,California,"Total, 55 to 64 years","3,214    ","2,002    ",62.3    ,"1,912    ",59.5    ,90    ,4.5    
06,25,California,"Total, 65 years and over","3,671    ",544    ,14.8    ,520    ,14.2    ,25    ,4.5    
06,26,California,"Men, 16 to 19 years","1,049    ",408    ,38.9    ,317    ,30.2    ,91    ,22.4    
06,27,California,"Men, 20 to 24 years","1,344    ","1,026    ",76.3    ,909    ,67.7    ,116    ,11.3    
06,28,California,"Men, 25 to 34 years","2,567    ","2,341    ",91.2    ,"2,205    ",85.9    ,136    ,5.8    
06,29,California,"Men, 35 to 44 years","2,656    ","2,455    ",92.4    ,"2,344    ",88.2    ,112    ,4.5    
06,30,California,"Men, 45 to 54 years","2,394    ","2,084    ",87.0    ,"1,990    ",83.1    ,94    ,4.5    
06,31,California,"Men, 55 to 64 years","1,547    ","1,066    ",68.9    ,"1,019    ",65.9    ,48    ,4.5    
06,32,California,"Men, 65 years and over","1,560    ",310    ,19.9    ,293    ,18.8    ,17    ,5.4    
06,33,California,"Women, 16 to 19 years",971    ,343    ,35.3    ,279    ,28.7    ,65    ,18.9    
06,34,California,"Women, 20 to 24 years","1,247    ",870    ,69.7    ,800    ,64.1    ,70    ,8.0    
06,35,California,"Women, 25 to 34 years","2,463    ","1,727    ",70.1    ,"1,614    ",65.6    ,113    ,6.5    
06,36,California,"Women, 35 to 44 years","2,755    ","1,939    ",70.4    ,"1,841    ",66.8    ,98    ,5.0    
06,37,California,"Women, 45 to 54 years","2,436    ","1,811    ",74.3    ,"1,736    ",71.2    ,76    ,4.2    
06,38,California,"Women, 55 to 64 years","1,667    ",936    ,56.1    ,894    ,53.6    ,42    ,4.5    
06,39,California,"Women, 65 years and over","2,111    ",234    ,11.1    ,226    ,10.7    ,8    ,3.3    
06,40,California,"White, 16 to 19 years","1,574    ",633    ,40.2    ,499    ,31.7    ,134    ,21.2    
06,41,California,"White, 20 to 24 years","1,977    ","1,499    ",75.8    ,"1,362    ",68.9    ,136    ,9.1    
06,42,California,"White, 25 to 34 years","3,751    ","3,060    ",81.6    ,"2,878    ",76.7    ,182    ,5.9    
06,43,California,"White, 35 to 44 years","4,139    ","3,362    ",81.2    ,"3,213    ",77.6    ,149    ,4.4    
06,44,California,"White, 45 to 54 years","3,759    ","3,061    ",81.4    ,"2,940    ",78.2    ,122    ,4.0    
06,45,California,"White, 55 to 64 years","2,531    ","1,592    ",62.9    ,"1,524    ",60.2    ,68    ,4.3    
06,46,California,"White, 65 years and over","2,939    ",454    ,15.4    ,435    ,14.8    ,19    ,4.1    
06,48,California,"Black or African American, 20 to 24 years",149    ,100    ,67.3    ,86    ,57.5    ,15    ,14.6    
06,49,California,"Black or African American, 25 to 34 years",361    ,281    ,78.0    ,249    ,68.9    ,33    ,11.6    
06,50,California,"Black or African American, 35 to 44 years",360    ,288    ,80.0    ,260    ,72.2    ,28    ,9.6    
06,51,California,"Black or African American, 45 to 54 years",298    ,214    ,71.7    ,198    ,66.3    ,16    ,7.6    
06,52,California,"Black or African American, 55 to 64 years",191    ,108    ,56.5    ,99    ,51.7    ,9    ,8.5    
06,55,California,"Asian, 20 to 24 years",330    ,197    ,59.7    ,179    ,54.2    ,18    ,9.3    
06,56,California,"Asian, 25 to 34 years",707    ,557    ,78.8    ,532    ,75.2    ,26    ,4.6    
06,57,California,"Asian, 35 to 44 years",704    ,586    ,83.2    ,562    ,79.7    ,24    ,4.1    
06,58,California,"Asian, 45 to 54 years",620    ,501    ,80.8    ,477    ,76.9    ,24    ,4.8    
06,59,California,"Asian, 55 to 64 years",414    ,254    ,61.2    ,242    ,58.4    ,12    ,4.6    
06,61,California,"Hispanic or Latino ethnicity, 16 to 19 years",847    ,317    ,37.5    ,239    ,28.2    ,78    ,24.7    
06,62,California,"Hispanic or Latino ethnicity, 20 to 24 years","1,024    ",768    ,75.0    ,687    ,67.1    ,81    ,10.5    
06,63,California,"Hispanic or Latino ethnicity, 25 to 34 years","2,006    ","1,583    ",78.9    ,"1,467    ",73.1    ,116    ,7.3    
06,64,California,"Hispanic or Latino ethnicity, 35 to 44 years","1,854    ","1,487    ",80.2    ,"1,401    ",75.6    ,86    ,5.8    
06,65,California,"Hispanic or Latino ethnicity, 45 to 54 years","1,155    ",901    ,78.0    ,846    ,73.2    ,55    ,6.2    
06,66,California,"Hispanic or Latino ethnicity, 55 to 64 years",582    ,324    ,55.6    ,302    ,51.9    ,22    ,6.6    
06,67,California,"Hispanic or Latino ethnicity, 65 years and over",569    ,76    ,13.4    ,70    ,12.3    ,6    ,8.1    
08,01,Colorado,Total,"3,468    ","2,525    ",72.8    ,"2,389    ",68.9    ,137    ,5.4    
