Variables	Terms	2009 Jan	2009 Feb	2009 Mar	2009 Apr	2009 May	2009 Jun	2009 Jul	2009 Aug	2009 Sep	2009 Oct	2009 Nov	2009 Dec	2010 Jan	2010 Feb	2010 Mar	2010 Apr	2010 May	2010 Jun	2010 Jul	2010 Aug	2010 Sep	2010 Oct	2010 Nov	2010 Dec	2011 Jan	2011 Feb	2011 Mar	2011 Apr	2011 May	2011 Jun	2011 Jul	2011 Aug	2011 Sep	2011 Oct	2011 Nov	2011 Dec	2012 Jan	2012 Feb	2012 Mar	2012 Apr	2012 May	2012 Jun	2012 Jul	2012 Aug	2012 Sep	2012 Oct	2012 Nov	2012 Dec	2013 Jan	2013 Feb	2013 Mar	2013 Apr	2013 May	2013 Jun	2013 Jul	2013 Aug	2013 Sep	2013 Oct	2013 Nov	2013 Dec
Term Frequnecy	osama bin laden	10	4	3	4	6	5	4	4	7	2	8	11	11	3	2	5	6	7	15	21	11	8	8	9	2	2	4	4	78	18	9	13	21	17	9	14	11	6	13	11	30	9	6	13	17	30	11	8	15	10	7	7	12	8	4	6	8	4	4	3
Term Frequnecy	rand paul	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	72	37	11	20	30	52	46	4	8	7	4	7	9	7	5	3	1	7	4	6	4	1	5	3	5	5	4	10	5	5	4	2	7	13	42	22	14	17	18	21	17	22	16	13
Term Frequnecy	nra	4	2	3	6	6	7	6	5	3	1	7	3	2	1	5	5	7	9	4	6	5	8	2	5	18	7	2	3	2	5	3	0	3	4	7	1	2	1	6	14	10	7	20	6	3	3	4	112	68	28	21	43	24	7	17	9	11	8	7	9
Term Frequnecy	pakistani	14	5	10	11	12	10	9	13	16	10	18	24	14	6	7	1	15	14	23	17	10	10	10	8	10	8	8	7	34	9	9	4	9	5	9	4	9	10	6	8	15	10	5	7	14	11	7	3	17	6	6	9	9	6	6	3	2	8	8	4
Term Frequnecy	biden	19	10	8	7	11	8	10	7	9	5	8	5	10	5	21	6	7	11	9	5	8	12	8	8	5	6	7	1	5	5	2	1	9	5	2	5	6	5	10	1	21	3	13	24	19	62	7	7	24	8	5	1	7	3	7	2	3	9	1	7
Term Frequnecy	cairo	5	1	2	1	4	41	9	8	7	11	10	5	8	5	5	2	2	4	2	13	10	5	2	0	13	78	15	8	15	6	4	3	20	10	8	6	4	3	5	4	4	8	3	6	42	12	14	4	5	4	6	1	9	4	6	11	6	3	3	3
Term Frequnecy	tehran	6	2	4	4	3	40	9	6	11	5	2	9	4	7	6	6	11	8	8	6	10	7	6	9	0	9	8	5	3	2	3	1	12	7	8	14	19	11	23	13	11	13	5	6	8	18	9	7	8	7	10	7	8	6	7	6	21	9	15	9
Term Frequnecy	occupy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79	101	67	29	23	25	18	21	13	7	9	23	13	18	5	11	2	1	7	6	6	7	3	10	3	3	5
Term Frequnecy	ted kennedy	15	2	4	2	4	1	3	66	38	6	7	11	72	17	12	5	8	4	3	3	6	5	7	6	4	3	1	4	1	2	2	2	9	5	3	3	4	9	11	6	6	11	8	5	9	19	11	2	4	4	0	3	5	4	4	0	4	5	9	5
Term Frequnecy	limbaugh	14	18	30	16	17	19	14	22	22	18	11	4	14	9	8	12	7	9	7	8	12	7	7	5	14	6	2	4	7	4	3	2	2	3	3	0	4	1	45	3	5	1	7	3	7	5	5	2	2	3	3	3	4	0	2	1	4	3	3	4
Term Frequnecy	tucson	3	2	1	4	2	1	2	0	0	2	4	3	2	0	3	8	11	4	3	2	3	3	3	1	175	22	16	4	7	9	7	5	2	5	3	8	12	5	4	6	6	4	7	3	4	5	3	12	13	9	4	17	4	0	4	2	1	2	3	0
Term Frequnecy	scott brown	0	0	0	0	0	0	0	0	1	0	1	0	115	50	21	13	17	14	9	6	11	5	11	13	1	1	2	5	4	1	5	2	6	7	3	7	5	5	9	1	5	10	2	4	15	16	25	5	3	4	1	1	2	1	1	3	1	3	1	0
Term Frequnecy	jerusalem	7	7	4	6	4	10	8	3	5	1	8	6	5	1	17	11	5	8	1	7	10	6	9	7	6	7	2	2	12	9	4	4	11	4	6	13	9	6	9	6	6	4	11	14	21	12	8	11	5	12	19	10	5	5	6	5	5	3	6	2
Term Frequnecy	madison	5	2	1	2	5	1	2	1	6	3	4	2	4	6	4	7	4	3	2	3	7	6	7	3	5	68	44	10	10	6	3	7	8	10	9	8	9	8	9	9	9	9	11	5	10	7	11	6	4	4	5	3	3	8	4	2	6	5	1	4
Term Frequnecy	nobel peace prize	6	0	0	0	1	0	2	5	2	75	8	36	13	3	6	6	3	3	4	4	4	10	7	9	11	10	2	5	2	4	0	4	10	8	1	6	8	2	7	4	11	4	4	8	7	8	5	7	6	3	2	10	2	7	9	7	15	6	5	4
Term Frequnecy	netanyahu	2	0	2	1	6	3	3	2	7	3	4	0	3	1	18	7	5	5	5	3	10	11	7	13	4	6	3	4	29	14	5	5	17	4	7	7	6	8	30	10	3	3	5	6	11	15	8	3	9	6	19	7	1	5	4	5	2	6	18	5
Term Frequnecy	scott walker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	3	63	62	22	5	10	5	15	8	6	15	11	9	6	6	15	12	40	10	14	10	10	10	4	2	2	0	3	4	2	2	3	4	2	4	5
Term Frequnecy	christmas	8	0	0	1	1	2	1	2	2	5	3	31	25	11	6	3	6	1	3	1	3	1	11	43	13	3	1	1	1	3	2	1	5	5	13	40	4	2	1	3	1	1	0	2	2	6	8	46	2	4	3	5	3	0	2	2	0	5	10	39
Term Frequnecy	benghazi	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	15	4	3	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	37	70	57	14	17	12	5	5	71	17	8	13	7	10	11	11
Term Frequnecy	second amendment	1	2	1	4	2	4	6	13	3	4	1	1	2	3	5	8	4	7	10	5	4	5	2	4	19	5	2	2	5	2	0	0	1	3	2	2	2	1	3	3	4	8	15	6	3	3	0	68	42	28	9	19	5	7	1	2	4	2	2	4
Term Frequnecy	haiti	3	1	3	2	3	4	5	2	4	4	2	0	54	26	21	6	11	6	10	12	6	7	8	10	10	11	11	2	3	4	4	3	11	2	5	2	2	2	9	3	1	3	1	8	3	5	8	5	0	4	9	5	8	8	5	4	2	6	4	2
Term Frequnecy	tampa	0	2	0	2	2	1	0	7	1	3	2	2	3	3	2	2	4	3	2	1	0	1	0	0	0	4	0	2	1	2	0	2	6	2	2	5	12	11	15	3	10	4	7	106	83	20	13	7	3	5	2	0	1	4	1	2	1	2	3	0
Term Frequnecy	nsa	1	0	1	5	3	3	2	0	0	1	2	0	0	2	1	3	0	1	0	4	1	3	0	0	2	1	1	2	2	0	1	4	0	0	1	2	0	1	0	5	2	1	0	2	1	2	4	2	2	0	1	1	5	97	58	47	24	19	25	33
Term Frequnecy	national rifle association	1	1	2	2	6	6	2	4	0	0	2	3	3	3	2	3	2	6	4	7	5	7	2	3	14	4	1	4	5	2	2	1	2	2	6	1	3	1	6	14	7	9	16	4	2	3	4	51	39	13	14	19	13	3	7	5	6	7	7	8
Term Frequnecy	newtown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	79	34	14	47	16	5	6	7	2	2	0	18
Term Frequnecy	gates	8	5	6	11	9	6	59	16	8	6	3	13	6	13	8	6	10	11	9	11	10	11	7	2	5	2	12	6	4	11	0	3	8	3	5	1	6	1	4	7	2	0	4	2	1	3	2	1	1	0	1	4	0	1	0	2	5	2	3	1
Term Frequnecy	david petraeus	5	3	6	5	10	3	2	2	7	3	2	7	8	6	12	2	6	24	25	9	20	4	5	5	4	3	11	5	7	7	6	7	7	4	4	6	3	3	1	4	2	5	1	1	1	3	42	5	6	5	6	3	3	1	2	1	1	2	1	0
Term Frequnecy	ground zero	0	1	1	0	2	1	1	1	3	1	7	2	2	0	0	1	2	1	20	153	59	13	2	4	3	1	6	2	11	1	3	3	18	6	1	1	1	0	1	0	4	2	2	0	1	2	3	0	2	0	0	0	0	1	1	0	1	0	0	0
Term Frequnecy	irs	3	4	1	1	2	1	3	4	4	1	1	1	3	7	7	3	3	3	2	3	7	10	3	0	6	8	3	4	3	3	4	3	7	8	7	3	4	8	7	9	3	5	11	8	7	10	6	5	3	4	2	3	60	24	8	7	4	6	8	5
Term Frequnecy	naacp	2	4	2	5	3	3	10	4	6	5	5	3	5	4	7	2	7	4	46	10	3	3	6	3	6	4	2	3	1	1	0	4	3	3	2	1	7	4	6	5	9	10	15	5	3	2	4	3	10	15	6	3	4	8	11	16	3	3	4	7
Term Frequnecy	republican national convention	6	3	4	3	1	2	3	1	4	3	2	2	2	1	0	3	4	4	3	2	2	1	0	1	2	0	0	1	1	2	0	4	3	2	1	1	5	6	8	3	3	3	2	72	81	22	30	6	3	2	6	1	3	3	2	1	1	1	2	2
Term Frequnecy	ayn rand	2	1	7	2	1	1	1	4	0	1	1	1	0	1	3	3	5	4	1	1	3	6	5	1	4	5	2	10	7	4	4	2	3	4	3	4	10	8	4	9	4	4	4	56	30	27	13	4	4	4	5	2	7	3	3	5	3	7	2	1
Term Frequnecy	ted cruz	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	16	0	0	7	2	3	20	13	9	14	10	6	24	40	115	23	16
Term Frequnecy	walker	1	1	1	0	0	3	1	3	1	0	2	1	1	2	2	2	1	2	2	15	1	1	1	2	0	51	47	9	4	4	3	12	3	0	6	5	8	8	3	15	7	24	5	6	4	2	7	2	1	1	1	3	3	2	2	1	3	3	2	2
Term Frequnecy	anti-american	6	2	8	4	10	9	3	4	5	8	5	2	5	1	10	3	5	4	4	11	8	7	5	4	7	14	10	1	5	4	3	3	5	5	3	3	2	7	5	1	4	3	1	1	20	14	5	2	3	6	8	1	4	1	3	3	7	4	2	2
Term Frequnecy	barney frank	9	7	7	6	2	8	7	9	8	11	3	6	12	2	27	3	10	11	11	1	7	10	6	5	4	5	1	1	2	4	3	5	0	3	9	8	4	3	5	3	8	6	5	1	4	4	3	4	1	4	0	5	0	3	1	2	0	1	1	0
Term Frequnecy	charlotte	1	0	1	1	0	0	4	2	3	0	1	1	1	1	1	4	2	2	0	1	0	2	3	3	0	2	2	2	3	3	0	3	3	4	3	1	2	1	6	3	14	1	2	33	121	13	5	6	5	5	0	1	2	1	1	7	3	2	0	1
Term Frequnecy	edward snowden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	75	56	22	17	18	25
Term Frequnecy	michael steele	8	28	23	12	17	7	8	6	10	5	9	7	10	4	13	15	17	2	26	3	4	6	5	1	6	1	0	0	1	0	0	1	1	0	1	2	0	0	0	1	1	1	2	4	4	4	8	2	2	0	0	1	0	0	0	3	1	0	0	0
Term Frequnecy	hispanics	5	2	1	6	3	2	4	4	4	4	3	1	0	5	3	6	3	5	6	5	3	6	3	2	4	0	3	1	4	2	3	4	4	9	1	8	5	9	7	10	5	8	2	5	9	2	25	3	5	7	7	5	5	12	7	5	4	2	4	5
Term Frequnecy	chuck hagel	2	0	1	1	0	1	1	1	2	1	2	0	2	2	0	0	0	0	3	1	4	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	1	0	0	16	70	43	28	16	20	5	9	7	15	8	3	6
Term Frequnecy	jan brewer	2	3	0	0	0	0	1	0	1	3	1	0	0	1	0	41	21	13	20	7	12	5	8	3	8	3	4	4	4	3	3	0	0	0	1	4	5	11	2	6	2	6	7	5	4	3	4	6	8	8	2	3	4	2	1	2	2	4	0	3
Term Frequnecy	trayvon martin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	45	10	9	9	4	1	3	3	7	3	3	1	2	0	12	87	23	3	1	3	9
Term Frequnecy	sandy hook	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	55	19	17	30	15	5	7	4	6	3	1	14
Term Frequnecy	dianne feinstein	16	1	7	7	4	5	5	2	0	4	0	2	1	5	1	3	7	5	1	2	5	8	3	4	1	1	3	2	3	2	4	2	3	1	5	3	2	3	4	0	6	1	2	2	3	2	11	13	19	5	8	8	1	15	6	7	4	4	10	3
Term Frequnecy	bin laden	7	4	2	5	0	1	3	3	4	1	2	7	3	0	4	0	4	2	2	8	2	3	2	0	0	2	3	2	48	6	3	2	9	6	2	1	6	4	4	2	8	0	2	9	12	9	10	3	13	5	1	4	7	3	2	2	3	1	0	1
Term Frequnecy	aig	4	2	45	9	3	4	10	4	4	9	6	12	20	8	10	6	5	8	5	1	3	4	1	6	4	3	1	1	5	2	1	4	1	8	2	5	2	1	4	1	3	3	1	4	2	1	0	0	1	1	1	0	1	0	0	1	3	0	0	0
Term Frequnecy	bahrain	1	0	2	2	1	1	0	0	3	1	1	1	1	0	0	1	0	0	0	3	3	1	1	2	1	28	36	14	16	4	5	8	7	4	3	7	7	4	3	5	3	6	3	1	8	7	5	3	6	1	5	0	6	4	4	5	5	1	2	3
Term Frequnecy	mother jones	5	3	4	1	1	2	4	3	3	2	2	1	4	1	4	5	6	7	2	1	5	4	5	5	6	6	8	6	4	2	3	3	5	7	4	3	4	4	6	0	5	5	4	1	18	6	2	7	10	4	2	6	5	5	5	2	3	7	2	2
Term Frequnecy	sharron angle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	18	13	17	34	67	47	8	10	2	2	2	2	1	5	0	2	2	0	1	0	0	6	0	4	1	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	sonia sotomayor	0	0	1	0	39	36	35	22	5	1	2	3	7	2	3	10	7	1	2	7	2	3	0	2	1	0	2	0	0	3	0	1	2	0	2	3	1	2	2	4	2	1	1	2	3	3	6	2	2	2	3	2	0	2	0	2	1	2	0	2
Term Frequnecy	national security agency	1	1	1	2	1	3	3	0	2	1	2	0	1	0	1	3	1	1	0	2	1	4	1	1	2	1	2	1	2	1	1	3	2	0	1	2	1	2	2	5	5	3	2	2	0	2	3	2	1	2	2	1	1	58	27	24	12	17	10	14
Term Frequnecy	stanley mcchrystal	0	0	0	0	0	3	2	2	12	19	14	10	10	6	7	3	5	54	28	8	4	5	2	6	1	5	0	1	1	0	0	2	0	0	0	0	1	3	2	1	2	2	2	0	0	2	3	2	4	1	2	3	1	2	2	0	0	1	2	1
Term Frequnecy	rubio	0	0	0	0	4	0	0	2	2	0	0	1	1	3	2	6	4	2	0	5	1	11	9	4	0	1	0	1	1	2	1	3	1	3	1	2	8	2	10	9	8	13	7	7	6	2	14	5	3	32	10	11	5	5	3	3	2	6	2	3
Term Frequnecy	house democrats	6	7	2	2	3	6	9	9	5	7	3	2	8	6	14	2	5	4	6	8	4	1	15	13	6	0	3	1	2	6	5	1	3	8	0	0	0	2	2	5	2	3	0	1	3	2	4	0	6	4	4	3	3	0	1	3	1	7	3	3
Term Frequnecy	warren buffett	1	3	4	2	0	1	1	1	2	1	3	0	5	1	5	4	2	1	6	4	9	4	6	5	1	3	1	4	0	2	1	17	15	9	8	5	15	3	4	14	4	6	5	4	4	8	7	5	2	0	1	2	3	1	2	4	3	5	2	1
Term Frequnecy	john roberts	9	1	1	3	6	3	11	5	2	1	1	1	13	0	6	8	4	7	3	1	1	5	2	3	2	1	3	0	1	4	3	0	0	3	0	2	2	1	4	3	4	15	21	3	2	2	9	5	6	2	5	4	1	16	12	2	0	3	1	3
Term Frequnecy	nazis	6	4	0	9	8	5	2	15	8	4	3	1	5	2	3	4	5	8	1	16	7	6	5	2	3	2	0	1	10	3	3	3	3	4	3	0	1	1	6	0	7	3	3	5	5	1	6	1	2	3	5	4	4	1	2	3	6	3	3	2
Term Frequnecy	muslim brotherhood	5	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	2	4	0	1	0	0	2	38	8	4	6	3	1	3	3	4	2	5	3	2	5	4	4	11	15	8	10	5	1	4	2	2	2	2	2	3	22	17	7	3	4	4
Term Frequnecy	christine o'donnell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	91	30	10	1	2	0	2	2	3	3	1	2	1	0	2	2	0	4	0	4	0	0	3	2	0	1	0	0	0	2	0	0	0	1	0	0	0	2	1
Term Frequnecy	osama	6	0	0	1	4	0	2	4	7	2	3	7	2	0	2	2	0	1	5	4	2	1	1	2	0	0	0	2	61	7	4	5	11	1	2	5	2	1	2	3	16	4	1	3	13	4	1	4	8	1	3	2	0	3	1	0	0	1	1	1
Term Frequnecy	rush	9	9	27	3	9	2	2	11	6	9	9	2	10	2	5	5	2	3	4	3	4	4	4	2	9	1	1	0	1	4	2	0	1	0	2	0	2	0	15	1	1	2	3	1	2	4	1	3	2	3	3	1	4	0	1	0	1	6	3	2
Term Frequnecy	state of the union	1	0	0	1	0	0	0	0	2	0	3	4	27	16	2	2	3	0	0	1	1	3	3	7	28	10	1	2	1	2	1	1	1	0	0	1	17	4	0	4	1	2	0	0	0	1	1	2	6	37	10	2	0	2	2	1	1	0	0	5
Term Frequnecy	oklahoma city	0	1	1	6	4	3	2	6	4	3	6	1	1	2	16	19	2	1	2	10	6	4	1	3	18	1	1	0	3	1	3	1	4	4	3	0	1	1	4	3	2	3	4	7	2	1	0	4	2	2	1	22	6	2	1	1	3	2	2	0
Term Frequnecy	rolling stone	3	2	0	1	0	0	3	5	1	0	1	4	0	2	3	0	0	47	16	9	2	6	2	5	2	9	5	0	6	1	1	2	2	3	1	3	5	1	2	3	7	2	6	5	4	3	6	3	0	2	0	1	1	6	5	2	0	1	3	2
Term Frequnecy	rnc	11	8	8	2	10	4	4	4	4	2	1	1	3	1	6	8	7	2	7	3	3	5	3	2	3	0	1	0	1	1	2	0	4	2	0	2	2	1	3	4	3	1	1	20	20	10	0	1	0	3	5	3	4	0	0	5	2	1	0	2
Term Frequnecy	bobby jindal	2	26	21	7	5	0	7	2	0	4	3	0	4	0	1	3	10	5	5	2	0	3	1	3	1	0	1	0	2	0	1	1	1	0	0	0	1	0	2	1	7	0	16	7	1	1	13	2	9	9	1	0	4	1	0	3	3	2	3	6
Term Frequnecy	aurora	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	38	21	5	1	1	49	26	9	5	20	6	1	6	2	5	1	2	5
Term Frequnecy	anthony weiner	0	1	0	0	0	1	0	6	6	5	4	3	2	1	3	0	0	1	1	6	1	1	4	0	1	2	1	1	1	50	2	2	8	2	6	5	3	1	3	1	0	1	5	2	0	0	1	0	0	0	0	7	6	2	26	11	5	2	2	4
Term Frequnecy	zuccotti park	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	66	59	18	8	1	4	7	6	5	0	0	10	0	3	0	2	2	0	3	0	2	1	1	3	0	0	3
Term Frequnecy	nelson mandela	5	1	3	0	0	1	4	3	2	6	1	3	2	2	4	4	3	3	3	2	3	5	2	1	1	2	1	0	2	0	0	1	1	1	4	2	2	0	4	1	1	3	3	1	2	3	4	2	0	2	1	6	3	5	9	2	3	2	1	67
Term Frequnecy	petraeus	2	0	3	1	6	2	0	1	3	1	4	3	3	2	5	2	1	17	16	9	14	4	5	4	4	2	9	3	0	3	1	3	2	0	1	0	1	0	0	1	0	1	0	1	0	1	48	4	5	3	1	0	1	1	0	0	0	0	0	0
Term Frequnecy	cambridge	1	0	2	2	2	2	38	15	6	3	3	5	5	3	2	1	3	3	9	1	3	2	2	0	2	0	1	2	2	0	0	1	4	2	7	0	3	0	1	2	2	2	1	1	5	2	1	3	4	1	1	14	3	2	6	2	3	5	1	4
Term Frequnecy	supreme court justice	1	0	2	1	15	5	8	7	6	1	2	2	4	0	4	7	8	6	4	6	3	3	4	6	6	1	5	2	3	0	0	0	4	3	5	1	1	2	1	2	1	3	0	4	4	7	5	3	6	3	2	0	3	1	4	3	3	4	4	1
Term Frequnecy	julian assange	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	5	5	1	4	8	73	13	5	5	1	2	0	1	1	0	1	0	1	0	0	3	1	1	1	2	7	1	1	4	1	2	0	2	2	2	12	12	9	0	1	3	2
Term Frequnecy	todd akin	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	66	26	30	29	4	12	5	2	2	0	2	5	2	0	1	1	1
Term Frequnecy	aipac	1	2	9	2	9	2	1	2	2	3	3	0	2	1	7	3	4	3	4	0	2	2	4	1	0	1	2	1	17	7	1	3	2	1	10	2	3	4	28	6	5	1	0	1	2	0	0	4	5	1	9	0	0	1	1	1	1	1	5	5
Term Frequnecy	stephen colbert	0	1	2	3	3	4	1	4	2	3	3	3	2	2	4	0	1	0	0	2	5	17	11	3	3	2	0	2	2	0	4	2	1	0	5	1	23	8	5	1	4	4	5	6	6	3	3	3	4	2	2	5	7	0	0	2	1	3	2	2
Term Frequnecy	gabrielle giffords	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	94	7	6	3	1	4	4	3	3	3	3	5	3	2	4	3	0	2	6	2	2	0	0	8	6	5	1	7	2	0	0	0	1	0	0	0
Term Frequnecy	hurricane sandy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	80	17	21	13	5	5	4	6	4	3	3	7	8	4
Term Frequnecy	roe v. wade	4	0	1	0	3	2	3	3	2	1	2	1	5	2	3	1	2	3	0	1	2	3	2	0	7	1	2	2	1	0	5	0	1	1	3	3	7	5	8	2	5	0	2	6	4	20	20	1	16	3	4	5	2	2	3	3	3	1	2	1
Term Frequnecy	times square	2	1	1	1	0	2	1	2	1	0	0	1	1	1	1	0	43	8	4	6	8	8	1	5	9	2	9	0	8	1	1	2	4	11	2	3	4	0	4	0	1	3	2	1	3	1	4	2	3	0	1	3	2	2	3	1	0	3	1	2
Term Frequnecy	jamie dimon	0	1	1	0	1	0	0	0	0	0	1	0	5	3	4	7	0	1	1	1	1	2	0	1	6	3	2	4	4	0	2	3	0	8	2	3	4	5	2	1	21	14	8	4	2	4	4	1	4	4	9	0	4	3	3	4	3	9	3	6
Term Frequnecy	halliburton	5	4	4	6	7	3	3	3	8	2	3	8	4	2	4	1	15	10	5	5	1	4	4	3	3	0	2	0	3	1	0	4	3	3	2	0	3	3	2	3	3	5	0	3	2	3	3	1	1	1	4	3	4	3	1	0	2	1	0	2
Term Frequnecy	rice	12	8	1	4	8	3	2	1	2	2	1	1	2	3	0	1	2	1	2	0	4	2	2	2	2	3	1	2	2	0	1	2	1	1	0	4	1	0	0	4	3	4	5	5	7	2	23	12	6	4	5	0	7	7	1	5	1	0	1	0
Term Frequnecy	blue dogs	8	3	2	3	3	2	25	16	16	9	9	6	5	3	4	3	1	2	4	3	7	8	14	7	2	0	1	0	1	1	3	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0
